tokenId;name;description;image;animation_url;trait_type_1;display_type_1;value_1;trait_type_2;display_type_2;value_2;trait_type_3;display_type_3;value_3;trait_type_4;display_type_4;value_4;trait_type_5;display_type_5;value_5;trait_type_6;display_type_6;value_6;trait_type_7;display_type_7;value_7;max_value_7;trait_type_8;display_type_8;value_8;max_value_8;trait_type_9;display_type_9;value_9;trait_type_10;display_type_10;value_10;max_value_10
2001;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Yashuaki Shimizu;Residence;;Osaka;Anime;;Kimetsu no Yaiba;Food;;Sukiyaki;Drinks;;Calpis;Gods;;Izanagi;Music Fan;boost_percentage;4;100;Reward Rate;;6;8;Genesis;number;1;Level;;2;5
2002;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Midori Takada;Residence;;Sapporo;Anime;;Boku no Hero;Food;;Tsukemono;Drinks;;Calpis;Gods;;Inari;Music Fan;boost_percentage;35;100;Reward Rate;;7;8;Genesis;number;1;Level;;1;5
2003;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;BTS;Residence;;Sapporo;Anime;;One Piece;Food;;Yakitori;Drinks;;Sochu;Gods;;Susanoo;Music Fan;boost_percentage;43;100;Reward Rate;;6;8;Genesis;number;1;Level;;2;5
2004;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Seatbelts;Residence;;Nagano;Anime;;Boku no Hero;Food;;Kobe Steak;Drinks;;Kinako Mochi;Gods;;Suzaku;Music Fan;boost_percentage;75;100;Reward Rate;;5;8;Genesis;number;1;Level;;4;5
2005;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Hiroshi Yoshimura;Residence;;Kyoto;Anime;;Shingeki no Kyojin;Food;;Udon;Drinks;;Yogur Líquido;Gods;;Kagatsuchi;Music Fan;boost_percentage;13;100;Reward Rate;;4;8;Genesis;number;1;Level;;2;5
2006;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Nigo;Residence;;Yokohama;Anime;;Fullmetal Alchemist;Food;;Sushi;Drinks;;Amazake;Gods;;Kagatsuchi;Music Fan;boost_percentage;13;100;Reward Rate;;7;8;Genesis;number;1;Level;;2;5
2007;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Nigo;Residence;;Nagano;Anime;;Fullmetal Alchemist;Food;;Sukiyaki;Drinks;;Sake;Gods;;Seiryu;Music Fan;boost_percentage;64;100;Reward Rate;;6;8;Genesis;number;1;Level;;3;5
2008;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Midori Takada;Residence;;Nagasaki;Anime;;One Piece;Food;;Yakitori;Drinks;;Sochu;Gods;;Izanagi;Music Fan;boost_percentage;97;100;Reward Rate;;3;8;Genesis;number;1;Level;;2;5
2009;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Midori Takada;Residence;;Nagoya;Anime;;One Punch Man;Food;;Udon;Drinks;;Kinako Mochi;Gods;;Izanagi;Music Fan;boost_percentage;53;100;Reward Rate;;2;8;Genesis;number;1;Level;;5;5
2010;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Hiroshi Yoshimura;Residence;;Tokio;Anime;;One Punch Man;Food;;Sashimi;Drinks;;Ramune;Gods;;Amaterasu;Music Fan;boost_percentage;60;100;Reward Rate;;7;8;Genesis;number;1;Level;;2;5
2011;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Midori Takada;Residence;;Kobe;Anime;;One Punch Man;Food;;Tsukemono;Drinks;;Ramune;Gods;;Byakko;Music Fan;boost_percentage;20;100;Reward Rate;;5;8;Genesis;number;1;Level;;2;5
2012;SPECIAL;Hiroshi Special Coin, first Collection;cocodrile.jpg;video.mp4;Artist;;Hiroshi Yoshimura;Residence;;Sapporo;Anime;;JoJo's Bizarre Adventure;Food;;Yakitori;Drinks;;Asahi;Gods;;Seiryu;Music Fan;boost_percentage;18;100;Reward Rate;;1;8;Genesis;number;1;Level;;5;5
